name,subject,number,avg_gpa,percent_4s,num_students
Aerospace Flight Mechanics,AE,202,3.3769260700389094,0.40077821011673154,1542.0
Incompressible Flow,AE,311,3.0300574712643678,0.2739463601532567,1566.0
Compressible Flow,AE,312,2.9147466467958267,0.2667660208643815,1342.0
Mechs of Aerospace Structures,AE,321,2.5702462462462456,0.16336336336336335,1665.0
Aerospace Dynamical Systems,AE,352,3.200086724482988,0.33955970647098066,1499.0
Aerospace Control Systems,AE,353,3.1821189336978812,0.3793574846206425,1463.0
Spacecraft Attitude Control,AE,403,3.4851948051948054,0.38961038961038963,154.0
Computational Aerodynamics,AE,410,3.408144927536231,0.5130434782608696,345.0
Aircraft Flight Mechanics,AE,419,3.18156862745098,0.3137254901960784,459.0
Finite Element Analysis,AE,420,,,
Rocket Propulsion,AE,434,3.0945277777777775,0.21666666666666667,360.0
Electric Space Propulsion,AE,435,3.0593207547169814,0.23773584905660378,265.0
Introduction to Astrophysics,ASTR,210,3.020617210682493,0.3744807121661721,1685.0
Computing in Astronomy,ASTR,310,3.1527450980392153,0.5163398692810458,153.0
Extraterrestrial Life,ASTR,330,3.584066496163683,0.5721592985020095,2737.0
Planetary Systems,ASTR,405,3.01888198757764,0.2898550724637681,483.0
Galaxies and the Universe,ASTR,406,2.998678756476684,0.32124352331606215,386.0
Astronomical Techniques,ASTR,414,3.117877697841727,0.4064748201438849,278.0
General Physical Meteorology,ATMS,201,3.61054229934924,0.6496746203904555,922.0
Radiative Transfer-Remote Sens,ATMS,304,2.9833333333333334,0.18518518518518517,216.0
Satellite Remote Sensing,ATMS,411,,,
Atmospheric Chemistry,ATMS,420,3.641730769230769,0.5384615384615384,52.0
Gene Expression & Regulation,BIOC,406,,,
Physical Biochemistry,BIOC,446,3.4663247863247864,0.3623931623931624,585.0
Technqs Biochem & Biotech,BIOC,455,3.2640144665461124,0.325497287522604,553.0
Cell & Tissue Engineering Lab,BIOE,202,3.246675257731958,0.24871134020618557,776.0
Biomedical Instrumentation,BIOE,414,3.347049300956585,0.3576158940397351,1359.0
Biomedical Instrumentation Lab,BIOE,415,3.7345194805194804,0.6597402597402597,770.0
Biophotonics,BIOE,467,,,
Principles of CHE,CHBE,221,2.6253406671398154,0.16075230660042583,2818.0
Thermodynamics,CHBE,321,2.943304680038204,0.2148997134670487,2094.0
Momentum and Heat Transfer,CHBE,421,2.757607537894306,0.16509627201966406,2441.0
Mass Transfer Operations,CHBE,422,2.8165305118110244,0.19389763779527558,2032.0
Chemical Reaction Engineering,CHBE,424,2.81555672823219,0.2596306068601583,1895.0
Unit Operations Laboratory,CHBE,430,3.2528612385321103,0.20355504587155962,1744.0
Process Design,CHBE,431,3.0619785522788203,0.17265415549597854,1865.0
Process Control and Dynamics,CHBE,440,3.0858823529411756,0.22058823529411764,1972.0
General Chemistry II,CHEM,104,2.619529986453758,0.14059357169245926,24361.0
General Chemistry Lab II,CHEM,105,3.5534855498561235,0.5736686267150424,23979.0
Transportation Engineering,CEE,310,3.0664380530973454,0.19579646017699115,1808.0
Environmental Engineering,CEE,330,3.4391938405797102,0.2551328502415459,3312.0
Railway Signaling & Control,CEE,410,3.2557446808510635,0.2553191489361702,47.0
Atmospheric Chemistry,CEE,447,3.1776666666666666,0.43333333333333335,30.0
Decision and Risk Analysis,CEE,491,3.1524672489082968,0.36026200873362446,458.0
Genetic Engineering Lab,CPSC,265,3.8657471264367813,0.8045977011494253,87.0
Intro Computing: Engrg & Sci,CS,101,3.369923649671883,0.5217693084300858,15848.0
Numerical Methods I,CS,357,3.1960061443932406,0.4121863799283154,7812.0
Cryptography,CS,407,,,
Text Information Systems,CS,410,3.84643310082435,0.8161065313887127,3154.0
Database Systems,CS,411,3.491415525114155,0.5049267003124249,8322.0
Introduction to Data Mining,CS,412,3.3403462278264584,0.4022226971575123,4679.0
Intro to Combinatorics,CS,413,,,
Game Development,CS,415,3.840796703296703,0.8653846153846154,364.0
Programming Languages & Compilers,CS,421,3.3726593720266416,0.5651760228353948,6306.0
Distributed Systems,CS,425,3.244853998203055,0.21990116801437556,4452.0
Software Engineering I,CS,427,3.528248587570622,0.4858757062146893,2124.0
Embedded Systems,CS,431,3.0705932203389827,0.2680084745762712,944.0
Computer System Organization,CS,433,3.3625117370892017,0.34976525821596244,852.0
Cloud Networking,CS,435,3.414347826086956,0.6304347826086957,322.0
Topics in Internet of Things,CS,437,3.644970149253731,0.7820895522388059,670.0
Communication Networks,CS,438,3.146255528255528,0.32383292383292384,2035.0
Artificial Intelligence,CS,440,3.276491286307054,0.4312033195020747,6025.0
Applied Machine Learning,CS,441,3.74098508811568,0.7916854948034342,2213.0
Deep Learning for Computer Vision,CS,444,3.685127659574468,0.7978723404255319,470.0
Computational Photography,CS,445,3.496624441132638,0.5670640834575261,1342.0
Machine Learning,CS,446,3.363776466504686,0.34154807358556055,2881.0
Natural Language Processing,CS,447,3.5896442687747037,0.5642292490118577,1012.0
Audio Computing Laboratory,CS,448,3.766081081081081,0.7837837837837838,74.0
Numerical Analysis,CS,450,3.122133891213389,0.3214783821478382,2868.0
Computer Security I,CS,461,3.0060480997624706,0.24732779097387173,3368.0
Computer Security II,CS,463,3.47894422310757,0.5717131474103586,502.0
Algorithms,CS,473,2.7946990291262135,0.15679611650485437,2060.0
Formal Software Development Methods,CS,477,3.486130653266332,0.5376884422110553,199.0
Seminar,CS,491,,,
Digital Signal Processing,ECE,310,2.9552694610778447,0.2383694150161216,4342.0
Digital Signal Processing Lab,ECE,311,3.5034114713216957,0.5825436408977556,2005.0
Probability in Engineering Lab,ECE,314,3.613511293634497,0.6427104722792608,487.0
Fields and Waves I,ECE,329,2.8617931034482758,0.25917686318131256,4495.0
Power Ckts & Electromechanics,ECE,330,2.7571473750790636,0.21347248576850095,3162.0
Green Electric Energy,ECE,333,3.1905637467476144,0.2727666955767563,2306.0
Semiconductor Electronics,ECE,340,2.6270090791180287,0.1974059662775616,3855.0
Electronic Circuits,ECE,342,3.0764747056951953,0.2682150811326758,3143.0
Electronic Circuits Laboratory,ECE,343,3.711618160651921,0.6286379511059371,859.0
Fields and Waves II,ECE,350,3.1653633572159667,0.3172978505629478,977.0
Programming Methods for Machine Learning,ECE,364,,,
Introduction to Algorithms & Models of Computation,ECE,374,,,
Computer Systems Engineering,ECE,391,2.9380953456845913,0.23746046091278808,4426.0
Advanced Digital Projects Lab,ECE,395,3.6645559845559847,0.61003861003861,259.0
Honors Project,ECE,396,,,
Individual Study in ECE,ECE,397,,,
Electronic Music Synthesis,ECE,402,3.503742550655542,0.5113230035756854,839.0
Audio Engineering,ECE,403,3.736551724137931,0.5517241379310345,29.0
Cryptography,ECE,407,3.642727272727273,0.6,55.0
Applied Parallel Programming,ECE,408,3.151880180859081,0.26186887716654106,2654.0
Computer Organization & Design,ECE,411,2.980047888550283,0.2242054854157597,2297.0
Biomedical Instrumentation,ECE,414,,,
Biomedical Instrumentation Lab,ECE,415,,,
Biosensors,ECE,416,3.302724550898204,0.38922155688622756,334.0
Embedded DSP Laboratory,ECE,420,3.616877022653721,0.529126213592233,618.0
Neural Interface Engineering,ECE,421,3.525151515151515,0.5454545454545454,33.0
Computer Security I,ECE,422,,,
Computer Security II,ECE,424,,,
Intro to VLSI System Design,ECE,425,3.1015044247787604,0.30678466076696165,339.0
Distributed Systems,ECE,428,,,
Electric Machinery,ECE,431,3.1731973898858077,0.27569331158238175,613.0
Real World Algorithms for IoT and Data Science,ECE,434,3.578615384615385,0.37948717948717947,195.0
Communication Networks,ECE,438,3.5703000000000005,0.47,100.0
LEDs and Solar Cells,ECE,443,3.492173913043478,0.34782608695652173,23.0
IC Device Theory & Fabrication,ECE,444,3.345446175637394,0.4206798866855524,1412.0
Senior Design Project Lab,ECE,445,3.16014742014742,0.294021294021294,3663.0
Active Microwave Ckt Design,ECE,447,3.6280392156862753,0.47058823529411764,51.0
Artificial Intelligence,ECE,448,,,
Machine Learning,ECE,449,,,
Adv Microwave Measurements,ECE,451,3.679624060150376,0.5714285714285714,133.0
Optical Imaging,ECE,460,3.8095238095238093,0.8095238095238095,21.0
Digital Communications,ECE,461,3.2313043478260868,0.391304347826087,23.0
Logic Synthesis,ECE,462,3.200352112676056,0.24647887323943662,568.0
Optical Communications Systems,ECE,465,,,
Optical Communications Lab,ECE,466,,,
Biophotonics,ECE,467,,,
Introduction to Robotics,ECE,470,3.262782060266292,0.4043447792571829,1427.0
Formal Software Development Methods,ECE,478,,,
IoT and Cognitive Computing,ECE,479,3.425531914893617,0.2978723404255319,47.0
Nanotechnology,ECE,481,3.612465277777778,0.6840277777777778,288.0
Analog IC Design,ECE,483,3.2824577861163227,0.31144465290806755,533.0
Principles of Safe Autonomy,ECE,484,3.6341549295774653,0.4507042253521127,142.0
Control Systems,ECE,486,3.383441138421734,0.43014230271668824,1546.0
Robot Dynamics and Control,ECE,489,,,
Introduction to Optimization,ECE,490,3.5171166448230675,0.5176933158584535,763.0
Numerical Analysis,ECE,491,,,
Senior Research Project,ECE,496,,,
Senior Thesis,ECE,499,,,
Interdisciplinary Design Proj,ENG,491,3.6751497005988023,0.5868263473053892,167.0
Physical Geology,GEOL,107,3.2465830115830117,0.3687258687258687,518.0
History of the Earth System,GEOL,208,3.0557847533632283,0.16591928251121077,223.0
Earth Materials and the Env,GEOL,333,,,
Mineralogy and Mineral Optics,GEOL,432,2.5853921568627456,0.0784313725490196,102.0
Sedimentology and Stratigraphy,GEOL,440,3.221943573667712,0.2664576802507837,319.0
Investigating the Earth’s Interior,GEOL,450,,,
Geochemistry,GEOL,460,,,
Deterministic Models in Optimization,IE,310,3.2235483870967743,0.34838709677419355,2015.0
Industrial Quality Control,IE,330,3.0588446969696967,0.2727272727272727,528.0
Production Planning & Control,IE,361,3.4379972936400534,0.29499323410013534,739.0
Simulation,IE,413,2.8434083601286178,0.23633440514469453,622.0
Financial Engineering,IE,420,3.188003246753247,0.26136363636363635,616.0
Organismal & Evolutionary Biol,IB,150,3.1026823587103105,0.3108986146867721,8157.0
Physiology,IB,202,3.2874688612099643,0.49955516014234874,2248.0
Evolution,IB,302,3.0483324911571503,0.20111167256189996,1979.0
Evolution of Traits and Genomes,IB,405,3.627090909090909,0.5909090909090909,110.0
Plant Physiology,IB,420,3.508732782369146,0.5179063360881543,363.0
Genes and Behavior,IB,432,3.766305309734513,0.8097345132743363,452.0
Conservation Biology,IB,451,3.5847026022304833,0.4851301115241636,538.0
Ornithology,IB,461,3.3581659388646283,0.462882096069869,229.0
Herpetology,IB,464,3.060277777777778,0.3194444444444444,72.0
